,Unnamed: 0,Date,New Car Average,Average EV Price,New Car Price Change,EV Price Change
0,0,2020-01-01,38747,54669,0.0,0.0
1,1,2020-02-01,38550,56326,-0.51,3.03
2,2,2020-03-01,38812,56059,0.68,-0.47
3,3,2020-04-01,39904,57757,2.81,3.03
4,4,2020-05-01,39138,58863,-1.92,1.91
5,5,2020-06-01,39731,57480,1.52,-2.35
6,6,2020-07-01,39512,57346,-0.55,-0.23
7,7,2020-08-01,39571,57346,0.15,0.0
8,8,2020-09-01,40159,54381,1.49,-5.17
9,9,2020-10-01,40770,52947,1.52,-2.64
10,10,2020-11-01,40937,53117,0.41,0.32
11,11,2020-12-01,41335,53811,0.97,1.31
12,12,2021-01-01,41248,57750,-0.21,7.32
13,13,2021-02-01,41366,57491,0.29,-0.45
14,14,2021-03-01,40680,56503,-1.66,-1.72
15,15,2021-04-01,41172,56059,1.21,-0.79
16,16,2021-05-01,41534,56140,0.88,0.14
17,17,2021-06-01,42633,58914,2.65,4.94
18,18,2021-07-01,43056,56110,0.99,-4.76
19,19,2021-08-01,43418,57540,0.84,2.55
20,20,2021-09-01,45031,56312,3.72,-2.13
21,21,2021-10-01,46026,55625,2.21,-1.22
22,22,2021-11-01,46329,56437,0.66,1.46
23,23,2021-12-01,47243,63821,1.97,13.08
24,24,2022-01-01,46404,62876,-1.78,-1.48
25,25,2022-02-01,46082,64807,-0.69,3.07
26,26,2022-03-01,46223,66386,0.31,2.44
27,27,2022-04-01,46676,65094,0.98,-1.95
28,28,2022-05-01,47275,64553,1.28,-0.83
29,29,2022-06-01,48043,66997,1.62,3.79
30,30,2022-07-01,48182,66645,0.29,-0.53
31,31,2022-08-01,48301,66524,0.25,-0.18
32,32,2022-09-01,48094,65291,-0.43,-1.85
33,33,2022-10-01,48281,64249,0.39,-1.6
34,34,2022-11-01,49121,65372,1.74,1.75
35,35,2022-12-01,49517,65805,0.81,0.66
