,Date,Average EV Price
0,2020-02-01,56326
1,2020-03-01,56059
2,2020-04-01,57757
3,2020-05-01,58863
4,2020-06-01,57480
5,2020-07-01,57346
6,2020-08-01,57346
7,2020-09-01,54381
8,2020-10-01,52947
9,2020-11-01,53117
10,2020-12-01,53811
11,2021-01-01,57750
12,2021-02-01,57491
13,2021-03-01,56503
14,2021-04-01,56059
15,2021-05-01,56140
16,2021-06-01,58914
17,2021-07-01,56110
18,2021-08-01,57540
19,2021-09-01,56312
20,2021-10-01,55625
21,2021-11-01,56437
22,2021-12-01,63821
23,2022-01-01,62876
24,2022-02-01,64807
25,2022-03-01,66386
26,2022-04-01,65094
27,2022-05-01,64553
28,2022-06-01,66997
29,2022-07-01,66645
30,2022-08-01,66524
31,2022-09-01,65291
32,2022-10-01,64249
